type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,Rio Chili,-16.40338397609219,-71.54358574486994,8184739.98811628,228334.955973815,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40411281342732,-71.54414840534281,8184658.54344228,228275.840689975,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40440076896742,-71.54489194062026,8184625.66638967,228196.784421432,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40505903047036,-71.54519343302893,8184552.38513364,228165.480968001,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40561310642902,-71.54538253970502,8184490.78908467,228146.042725817,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4066583921306,-71.54523378940495,8184375.26397865,228163.391482055,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40757124367171,-71.54562296595815,8184273.67897976,228123.072559784,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40822099897989,-71.54607985606177,8184201.13063362,228075.152286923,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4087490623989,-71.54682946144816,8184141.66176953,227995.783349327,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.40926545709357,-71.54741519570648,8184083.70450483,227933.90992825,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4098571700034,-71.54747674256562,8184018.1125681,227928.156389529,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41039841226429,-71.54758353613731,8183958.04751351,227917.497628193,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41050852277856,-71.54804859495319,8183945.23229273,227867.954792228,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41110603957659,-71.54887914885305,8183877.96436877,227780.033947215,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41202636021463,-71.54916236293573,8183775.69374052,227751.051480547,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41309213313403,-71.54978515962543,8183656.86322369,227685.984685901,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41410757960368,-71.54963426602031,8183544.64457059,227703.523505996,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41508437561481,-71.54997482559439,8183436.04410189,227668.492997317,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41536767079393,-71.55028827396063,8183404.25850206,227635.393497712,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41599517741199,-71.55067530727459,8183334.26567147,227594.910778962,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41640250890134,-71.55111136475298,8183288.58269283,227548.882846689,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41674766306403,-71.55156617689362,8183249.7580978,227500.764352863,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41710326385541,-71.5520962244228,8183209.67553203,227444.621209848,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41774949362209,-71.55253520132224,8183137.53938345,227398.615149863,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41874966302563,-71.55279379139684,8183026.46073934,227372.378609974,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41941365574135,-71.55356969373585,8182951.90393725,227290.395789373,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.41956088726643,-71.5543824122185,8182934.50870714,227203.758058933,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42072669003704,-71.55507413310684,8182804.50825651,227131.472148094,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42161408895966,-71.55583865818076,8182705.23188792,227051.018813254,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42211207566337,-71.55630413195138,8182649.47107369,227001.976839975,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42318600634964,-71.5569969861794,8182529.63942072,226929.443750931,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4237794110573,-71.55760313382319,8182463.12445567,226865.504484085,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42425867662609,-71.55833533000647,8182409.07567692,226787.937317643,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.4246707291282,-71.55943536808593,8182361.97111559,226670.971541331,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42557350137272,-71.56008879991995,8182261.14052052,226602.414132918,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.426110547148,-71.56107720080027,8182200.34735563,226497.55317037,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42668527677724,-71.56164574766565,8182135.94915556,226437.607727607,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42725505501871,-71.56192976887073,8182072.48363145,226408.057727022,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42792192982977,-71.56241406911745,8181997.99739684,226357.243907102,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42850330982241,-71.56256442383882,8181933.42802149,226341.993030287,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42891935312693,-71.56282982048708,8181887.00785132,226314.218245816,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42925613677182,-71.56299948209116,8181849.49217564,226296.561834039,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.42984235243152,-71.56357684106452,8181783.80959824,226235.692578901,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43063369760345,-71.56437862301725,8181695.11259569,226151.131806345,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43172702111574,-71.56508623819438,8181573.10981972,226077.057087378,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43282463092808,-71.56559804643435,8181450.89732009,226023.911029594,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43317873039932,-71.56627121266065,8181410.78210776,225952.481103348,False, , ,0, , , , , , 
TRACK,Rio Chili,-16.43423739509188,-71.56664631531125,8181293.06610006,225913.888300787,False, , ,0, , , , , , 
