type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42319981127416,-71.48583188387774,8182622.78363294,234533.522821322,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42334383559957,-71.48592546017882,8182606.71641307,234523.720049499,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42341833103288,-71.4860818349907,8182598.26414995,234507.112884933,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42346113931708,-71.4863384009264,8182593.18843417,234479.757405378,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42356336999019,-71.4865749332365,8182581.56049052,234454.623266323,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4236422125905,-71.48673318163272,8182572.62444768,234437.821861585,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42365611335767,-71.48695187185446,8182570.7986003,234414.474074461,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42395078661535,-71.48722032563292,8182537.82393391,234386.190890459,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42400937231509,-71.48726860443784,8182531.27472821,234381.112046819,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42403862589395,-71.48738497970881,8182527.88342643,234368.717341076,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42414528508887,-71.48750588256758,8182515.91682647,234355.944133519,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42420790351776,-71.48760633269868,8182508.8526855,234345.296382596,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.42421597729115,-71.4877352831892,8182507.78960904,234331.529250696,False, , ,0, , , , , , 
